iter	Passed	Remaining
406	6283	9155
407	6297	9137
408	6309	9117
409	6326	9104
410	6340	9086
411	6356	9072
412	6373	9058
413	6387	9041
414	6400	9021
415	6414	9005
416	6429	8988
417	6444	8973
418	6458	8955
419	6473	8939
420	6486	8920
421	6502	8906
422	6518	8891
423	6532	8874
424	6547	8858
425	6560	8840
426	6576	8825
427	6592	8810
428	6609	8797
429	6625	8782
430	6641	8768
431	6657	8752
432	6673	8738
433	6688	8723
434	6702	8705
435	6715	8686
436	6728	8668
437	6746	8656
438	6760	8639
439	6777	8625
440	6793	8611
441	6806	8593
442	6821	8576
443	6835	8559
444	6852	8545
445	6868	8532
446	6882	8514
447	6897	8499
448	6913	8484
449	6931	8471
450	6944	8454
451	6959	8438
452	6976	8424
453	6991	8408
454	7006	8392
455	7022	8377
456	7038	8362
457	7051	8344
458	7064	8326
459	7075	8306
460	7088	8288
461	7104	8272
462	7120	8258
463	7135	8242
464	7152	8228
465	7167	8212
466	7183	8199
467	7197	8182
468	7212	8166
469	7230	8153
470	7243	8135
471	7257	8119
472	7271	8101
473	7284	8084
474	7301	8069
475	7315	8053
476	7327	8034
477	7344	8020
478	7356	8002
479	7372	7986
480	7389	7972
481	7405	7958
482	7420	7943
483	7436	7927
484	7451	7912
485	7464	7894
486	7478	7877
487	7491	7859
488	7506	7844
489	7520	7827
490	7537	7813
491	7553	7799
492	7570	7785
493	7585	7770
494	7603	7756
495	7617	7740
496	7631	7723
497	7645	7707
498	7658	7689
499	7673	7673
500	7688	7657
501	7702	7640
502	7717	7625
503	7733	7611
504	7750	7596
505	7764	7580
506	7776	7561
507	7790	7544
508	7806	7529
509	7819	7513
510	7835	7497
511	7851	7483
512	7868	7469
513	7883	7454
514	7899	7439
515	7914	7423
516	7929	7408
517	7947	7394
518	7960	7378
519	7977	7363
520	7992	7348
521	8006	7331
522	8020	7314
523	8036	7300
524	8051	7284
525	8067	7270
526	8082	7254
527	8099	7240
528	8115	7225
529	8130	7209
530	8144	7193
531	8156	7175
532	8171	7159
533	8187	7144
534	8200	7127
535	8214	7111
536	8226	7093
537	8243	7078
538	8257	7062
539	8270	7045
540	8286	7030
541	8303	7016
542	8318	7001
543	8331	6984
544	8345	6967
545	8358	6950
546	8372	6933
547	8387	6918
548	8401	6902
549	8417	6886
550	8432	6871
551	8446	6855
552	8461	6839
553	8477	6824
554	8493	6810
555	8509	6795
556	8524	6779
557	8539	6764
558	8556	6750
559	8569	6732
560	8582	6715
561	8597	6700
562	8611	6684
563	8624	6667
564	8638	6651
565	8655	6636
566	8671	6622
567	8688	6607
568	8703	6592
569	8718	6576
570	8735	6562
571	8750	6547
572	8765	6531
573	8780	6516
574	8796	6501
575	8810	6485
576	8824	6469
577	8839	6453
578	8855	6438
579	8871	6423
580	8886	6408
581	8903	6394
582	8916	6377
583	8930	6361
584	8946	6346
585	8961	6331
586	8974	6314
587	8990	6299
